PID,core_times,x,y,duration
106,1682440156448,544.0,369.0,8.0
106,1682440156456,543.0,370.0,8.0
106,1682440156464,543.0,370.0,8.0
106,1682440156472,543.0,370.0,9.0
106,1682440156481,543.0,365.0,8.0
106,1682440156489,541.0,370.0,7.0
106,1682440156496,542.0,373.0,8.0
106,1682440156504,544.0,371.0,8.0
106,1682440156512,544.0,368.0,11.0
106,1682440156523,541.0,367.0,8.0
106,1682440156531,542.0,362.0,8.0
106,1682440156539,549.0,368.0,9.0
106,1682440156548,543.0,358.0,8.0
106,1682440156556,547.0,360.0,8.0
106,1682440156564,540.0,362.0,9.0
106,1682440156573,541.0,358.0,8.0
106,1682440156581,542.0,361.0,8.0
106,1682440156589,544.0,357.0,9.0
106,1682440156598,544.0,357.0,7.0
106,1682440156605,542.0,359.0,8.0
106,1682440156613,545.0,361.0,8.0
106,1682440156621,543.0,361.0,10.0
106,1682440156631,542.0,360.0,8.0
106,1682440156639,544.0,359.0,9.0
106,1682440156648,544.0,369.0,8.0
106,1682440156656,543.0,363.0,15.0
106,1682440156671,558.0,367.0,2.0
106,1682440156673,584.0,360.0,8.0
106,1682440156681,581.0,357.0,8.0
106,1682440156689,577.0,370.0,8.0
106,1682440156697,576.0,364.0,7.0
106,1682440156704,576.0,365.0,8.0
106,1682440156712,579.0,365.0,11.0
106,1682440156723,574.0,364.0,8.0
106,1682440156731,572.0,362.0,8.0
106,1682440156739,583.0,370.0,9.0
106,1682440156748,577.0,368.0,8.0
106,1682440156756,581.0,375.0,8.0
106,1682440156764,582.0,369.0,9.0
106,1682440156773,585.0,379.0,8.0
106,1682440156781,582.0,378.0,8.0
106,1682440156789,582.0,378.0,9.0
106,1682440156798,580.0,374.0,7.0
106,1682440156805,586.0,381.0,8.0
106,1682440156813,583.0,381.0,8.0
106,1682440156821,586.0,387.0,8.0
106,1682440156829,582.0,382.0,11.0
106,1682440156840,586.0,386.0,8.0
106,1682440156848,580.0,384.0,8.0
106,1682440156856,582.0,384.0,8.0
106,1682440156864,585.0,383.0,9.0
106,1682440156873,583.0,387.0,8.0
106,1682440156881,583.0,387.0,8.0
106,1682440156889,584.0,387.0,8.0
106,1682440156897,579.0,384.0,7.0
106,1682440156904,582.0,386.0,8.0
106,1682440156912,586.0,385.0,11.0
106,1682440156923,581.0,384.0,8.0
106,1682440156931,582.0,388.0,8.0
106,1682440156939,584.0,383.0,9.0
106,1682440156948,581.0,377.0,8.0
106,1682440156956,583.0,380.0,8.0
106,1682440156964,582.0,375.0,9.0
106,1682440156973,581.0,374.0,8.0
106,1682440156981,582.0,372.0,8.0
106,1682440156989,583.0,372.0,9.0
106,1682440156998,581.0,371.0,8.0
106,1682440157006,591.0,375.0,8.0
106,1682440157014,624.0,382.0,7.0
106,1682440157021,620.0,378.0,8.0
106,1682440157029,618.0,381.0,8.0
106,1682440157037,616.0,377.0,11.0
106,1682440157048,619.0,381.0,8.0
106,1682440157056,615.0,382.0,8.0
106,1682440157064,614.0,376.0,9.0
106,1682440157073,615.0,379.0,8.0
106,1682440157081,614.0,376.0,8.0
106,1682440157089,615.0,381.0,8.0
106,1682440157097,617.0,385.0,7.0
106,1682440157104,611.0,383.0,9.0
106,1682440157113,615.0,390.0,10.0
106,1682440157123,613.0,386.0,8.0
106,1682440157131,612.0,394.0,8.0
106,1682440157139,618.0,397.0,9.0
106,1682440157148,620.0,396.0,8.0
106,1682440157156,620.0,397.0,8.0
106,1682440157164,619.0,391.0,9.0
106,1682440157173,620.0,391.0,8.0
106,1682440157181,619.0,385.0,8.0
106,1682440157189,616.0,385.0,9.0
106,1682440157198,619.0,379.0,8.0
106,1682440157206,616.0,378.0,8.0
106,1682440157214,614.0,380.0,8.0
106,1682440157222,615.0,377.0,8.0
106,1682440157230,616.0,371.0,8.0
106,1682440157238,616.0,374.0,8.0
106,1682440157246,618.0,369.0,11.0
106,1682440157257,619.0,374.0,7.0
106,1682440157264,619.0,368.0,9.0
106,1682440157273,619.0,369.0,8.0
106,1682440157281,617.0,372.0,8.0
106,1682440157289,619.0,372.0,8.0
106,1682440157297,623.0,376.0,8.0
106,1682440157305,620.0,379.0,8.0
106,1682440157313,632.0,371.0,8.0
106,1682440157321,666.0,376.0,11.0
106,1682440157332,647.0,382.0,7.0
106,1682440157339,649.0,372.0,9.0
106,1682440157348,645.0,383.0,8.0
106,1682440157356,649.0,381.0,8.0
106,1682440157364,653.0,386.0,9.0
106,1682440157373,654.0,388.0,8.0
106,1682440157381,654.0,388.0,8.0
106,1682440157389,653.0,386.0,9.0
106,1682440157398,653.0,388.0,8.0
106,1682440157406,654.0,383.0,8.0
106,1682440157414,655.0,378.0,9.0
106,1682440157423,654.0,382.0,8.0
106,1682440157431,652.0,377.0,7.0
106,1682440157438,656.0,377.0,8.0
106,1682440157446,652.0,380.0,11.0
106,1682440157457,653.0,380.0,7.0
106,1682440157464,654.0,375.0,9.0
106,1682440157473,652.0,380.0,8.0
106,1682440157481,653.0,379.0,9.0
106,1682440157490,652.0,378.0,8.0
106,1682440157498,652.0,376.0,8.0
106,1682440157506,651.0,379.0,7.0
106,1682440157513,653.0,381.0,8.0
106,1682440157521,652.0,379.0,11.0
106,1682440157532,649.0,378.0,7.0
106,1682440157539,652.0,379.0,9.0
106,1682440157548,651.0,381.0,8.0
