PID,Task,first_time,last_time,total_time,total_time_ms
132,T1,01:03:15PM,01:11:26PM,0 days 00:08:10.823000,490823.0
132,T2,01:13:22PM,01:18:41PM,0 days 00:05:18.576000,318576.0
132,T3,01:20:29PM,01:30:39PM,0 days 00:10:09.841000,609841.0
132,T4,01:32:10PM,01:40:59PM,0 days 00:08:48.656000,528656.0
132,T5,01:43:09PM,01:50:06PM,0 days 00:06:56.988000,416988.0
132,T6,01:51:47PM,01:59:14PM,0 days 00:07:26.907000,446907.0
133,T1,07:23:45PM,07:34:29PM,0 days 00:10:43.715000,643715.0
133,T2,07:36:56PM,07:43:13PM,0 days 00:06:17.032000,377032.0
133,T3,07:45:01PM,07:49:43PM,0 days 00:04:42.257000,282257.0
133,T4,07:51:14PM,07:59:33PM,0 days 00:08:19.089000,499089.0
133,T5,08:01:14PM,08:11:26PM,0 days 00:10:12.152000,612152.0
133,T6,08:12:49PM,08:15:01PM,0 days 00:02:11.616000,131616.0
135,T1,03:13:04PM,03:15:49PM,0 days 00:02:44.625000,164625.0
135,T2,03:17:16PM,03:19:42PM,0 days 00:02:25.866000,145866.0
135,T3,03:20:58PM,03:26:10PM,0 days 00:05:11.898000,311898.0
135,T4,03:27:22PM,03:34:14PM,0 days 00:06:51.955000,411955.0
135,T5,03:35:32PM,03:38:02PM,0 days 00:02:30.514000,150514.0
135,T6,03:39:44PM,03:45:22PM,0 days 00:05:38.928000,338928.0
136,T1,06:10:38PM,06:19:18PM,0 days 00:08:39.490000,519490.0
136,T2,06:21:23PM,06:29:24PM,0 days 00:08:00.780000,480780.0
136,T3,06:30:58PM,06:39:38PM,0 days 00:08:39.932000,519932.0
136,T4,06:42:23PM,06:50:39PM,0 days 00:08:16.814000,496814.0
136,T5,06:54:04PM,07:03:14PM,0 days 00:09:09.655000,549655.0
136,T6,07:04:42PM,07:12:44PM,0 days 00:08:01.506000,481506.0
137,T1,03:01:51PM,03:12:13PM,0 days 00:10:22.072000,622072.0
137,T2,03:14:29PM,03:24:17PM,0 days 00:09:47.406000,587406.0
137,T3,03:26:19PM,03:36:41PM,0 days 00:10:22.115000,622115.0
137,T4,03:38:31PM,03:48:51PM,0 days 00:10:19.916000,619916.0
137,T5,03:50:33PM,03:57:50PM,0 days 00:07:16.582000,436582.0
137,T6,03:59:29PM,04:11:09PM,0 days 00:11:39.294000,699294.0
139,T1,06:05:37PM,06:09:58PM,0 days 00:04:20.664000,260664.0
139,T2,06:12:26PM,06:18:28PM,0 days 00:06:01.798000,361798.0
139,T3,06:21:35PM,06:25:45PM,0 days 00:04:09.821000,249821.0
139,T4,06:27:35PM,06:36:04PM,0 days 00:08:28.735000,508735.0
139,T5,06:37:31PM,06:41:13PM,0 days 00:03:42.140000,222140.0
139,T6,06:43:20PM,06:50:33PM,0 days 00:07:13.242000,433242.0
140,T1,03:40:35PM,03:45:52PM,0 days 00:05:17.118000,317118.0
140,T2,03:48:57PM,03:57:34PM,0 days 00:08:36.980000,516980.0
140,T3,03:59:49PM,04:10:13PM,0 days 00:10:24.722000,624722.0
140,T4,04:13:06PM,04:22:23PM,0 days 00:09:17.031000,557031.0
140,T5,04:24:16PM,04:28:51PM,0 days 00:04:35.490000,275490.0
140,T6,04:30:21PM,04:34:00PM,0 days 00:03:38.414000,218414.0
