fixation_rate_AOI_A1,fixation_rate_AOI_A2,fixation_rate_AOI_A3,fixation_rate_AOI_A4,fixation_rate_AOI_A5,fixation_rate_AOI_A6,avg_fixation_time_AOI_A1,avg_fixation_time_AOI_A2,avg_fixation_time_AOI_A3,avg_fixation_time_AOI_A4,avg_fixation_time_AOI_A5,avg_fixation_time_AOI_A6,is_correct,cluster
0.527607362,0.371165644,0.239263804,0.101226994,0.076687117,0.0,594.9011628,507.4958678,591.8974359,406.5454545,372.8,0.0,0,1
0.514705882,0.387254902,0.328431373,0.098039216,0.0,0.0,517.9809524,488.8227848,528.1641791,293.0,0.0,0.0,0,1
0.81020408,0.17959184,0.06326531,0.01020408,0.0,0.0,937.191436,1134.03409,857.354839,373.2,0.0,0.0,1,0
0.41481481,0.48395062,0.45432099,0.10123457,0.0,0.0,852.053571,870.183673,892.619565,518.243902,0.0,0.0,1,0
0.58205689,0.38512035,0.28446389,0.03282276,0.01750547,0.0,839.699248,776.056818,725.553846,414.8,448.5,0.0,0,1
0.38596491,0.42105263,0.3377193,0.19298246,0.0,0.0,672.045455,803.177083,778.337662,579.568182,0.0,0.0,0,1
0.64263323,0.33855799,0.03761755,0.01880878,0.0,0.0,732.141463,607.324074,1308.5,312.333333,0.0,0.0,1,0
0.35162095,0.57855362,0.38154613,0.06982544,0.0,0.0,670.134752,910.12069,971.058824,603.357143,0.0,0.0,1,0
0.313106796,0.436893204,0.383495146,0.25,0.0,0.0,491.7596899,527.1888889,536.2594937,618.4466019,0.0,0.0,1,0
0.527204503,0.373358349,0.25891182,0.099437148,0.063789869,0.0,502.9893238,411.5527638,388.6449275,456.6792453,416.2647059,0.0,0,1
0.42081448,0.513574661,0.43438914,0.06561086,0.0,0.0,594.4032258,545.5110132,579.9583333,599.2758621,0.0,0.0,1,0
0.60371517,0.325077399,0.27244582,0.07120743,0.0,0.0,601.374359,410.6285714,443.7386364,380.1304348,0.0,0.0,0,1
0.555555556,0.401960784,0.068627451,0.04248366,0.0,0.0,423.0176471,571.9186992,571.4285714,3794.615385,0.0,0.0,1,0
0.507518797,0.45112782,0.165413534,0.041353383,0.0,0.0,509.4148148,1100.516667,883.2272727,27691.18182,0.0,0.0,1,0
0.485217391,0.372173913,0.106086957,0.142608696,0.010434783,0.0,692.9462366,735.5420561,835.0,537.1219512,406.5,0.0,1,0
0.526315789,0.293859649,0.129385965,0.179824561,0.0,0.0,669.5125,952.8283582,732.6949153,509.8414634,0.0,0.0,0,1
0.477430556,0.354166667,0.263888889,0.168402778,0.036458333,0.0,780.3854545,596.0441176,604.2960526,472.628866,471.7142857,0.0,0,1
